action step section_index gas_present structure_stable can_check_section m z section structure_safe_flag distance_to_leader lead_retry_count current_speed_lead current_energy_lead current_energy_lead2 send_data section_gas_check gas_detected_flag send_gas_data x distance_gas_detector_to_leader current_speed_gas_detector current_energy_gas_detector section_safety_check structure_ok_flag send_structure_data distance_safety_assessment_to_leader y current_speed_safe_detector current_energy_safe_detector current_section section_safe_to_check section_safe leader_retry_count sending_flag connection_success k current_speed_leader current_energy_leader wait
[checkconnection] 79 2 true true true 1 5 2 true 20 0 20 100 101 true 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 4
lead_robot 80 2 true true true 1 5 2 true 20 0 20 100 101 true 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 4
lead_robot 81 2 true true true 1 5 2 true 20 0 20 100 101 true 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 4
lead_robot 82 2 true true true 1 5 2 true 20 0 20 100 101 true 2 false false 0 20 20 100 2 true false 20 0 20 100 2 false false 0 false false 0 20 100 4
[lead_safe_signal] 83 2 true true true 1 5 2 true 20 0 20 100 101 true 2 false false 0 20 20 100 2 true false 20 0 20 100 2 true false 0 false false 1 20 100 4
lead_robot 84 2 true true true 1 5 2 true 20 0 20 100 101 true 2 false false 0 20 20 100 2 true false 20 0 20 100 2 true false 0 false false 1 20 100 4
[initialize_section] 85 2 true true true 1 5 2 true 20 0 20 100 101 true 2 false false 1 20 20 100 2 true false 20 1 20 100 2 true false 0 false false 1 20 100 4
lead_robot 86 2 true true true 1 5 2 true 20 0 20 100 101 true 2 false false 1 20 20 100 2 true false 20 1 20 100 2 true false 0 false false 1 20 100 4
[check_distance_gas_detecter] 87 2 true true true 1 5 2 true 20 0 20 100 101 true 2 false false 2 20 20 100 2 true false 20 1 20 100 2 true false 0 false false 1 20 100 4
[check_gas] 88 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true false 20 1 20 100 2 true false 0 false false 1 20 100 4
[check_distance_safety_assessment] 89 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true false 20 2 20 100 2 true false 0 false false 1 20 100 4
lead_robot 90 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true false 20 2 20 100 2 true false 0 false false 1 20 100 4
lead_robot 91 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true false 20 2 20 100 2 true false 0 false false 1 20 100 4
[check_safety] 92 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true true 20 3 20 100 2 true false 0 false false 1 20 100 4
lead_robot 93 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true true 20 3 20 100 2 true false 0 false false 1 20 100 4
lead_robot 94 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true true 20 3 20 100 2 true false 0 false false 1 20 100 4
lead_robot 95 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true true 20 3 20 100 2 true false 0 false false 1 20 100 4
[unsafe_signal12] 96 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true true 20 3 20 100 2 true false 0 true false 3 20 100 4
lead_robot 97 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true true 20 3 20 100 2 true false 0 true false 3 20 100 4
lead_robot 98 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true true 20 3 20 100 2 true false 0 true false 3 20 100 4
[send_data] 99 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true true 20 3 20 100 2 true false 0 true true 4 20 100 4
lead_robot 100 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true true 20 3 20 100 2 true false 0 true true 4 20 100 4
lead_robot 101 2 true true true 1 5 2 true 20 0 20 100 101 true 2 true true 3 20 20 100 2 true true 20 3 20 100 2 true false 0 true true 4 20 100 4
